seller-sku	asin1	price	quantity
ACCCM106	B074HCWZNZ	40.36	14
ACCCM124	B07H3H4NWP	25.78	15
ACCCM129	B07B69RV7W	35.71	30
ACCCM130	B07B68LBF8	54.8	23
ACCCP1103	B077TN5J8Y	26.54	27
ACCCP1109	B0746FFR4J	34.32	30
ACCCP2102	B01MTKADIZ	41.12	30
ACCCP2104	B01FUN3NQO	38.77	30
ACCCP2108	B07M6R152Q	61.29	25
ACOST22021106	B0777CQCCY	34.04	14
ACOST22021108	B01EDFSETG	27.39	23
ACOST22021110	B00LIAYTN0	30.4	30
ACOST2202113	B07MB1D4GH	50.42	30
ACOST2202118	B07JFK88HB	68.96	30
ACOST2202140	B075ZQJKMY	33.57	30
ACOST22022105	B06WGV3NZF	43.92	30
ACOST22023105	B07LBDPTW7	32.18	30
ACOST22023106	B07K7WKHBG	33.53	20
ACOST22023112	B07M9Z7XGF	26.76	12
APG1152	B075KNS8TW	153.58	30
ART2117	B01IB2PNZU	66.03	28
BBG2101	B076ZWCZGJ	41.86	30
BBG2181	B01EG81R1C	57.43	30
BESP1107	B07C8C5DX5	28.62	30
BESP1112	B010E8EVL6	26.67	30
BESP1125	B01IZTPH6Y	35.5	30
BESP1135	B008FWCXGE	32.62	12
BESP1150	B075K821HG	24.59	13
BESP1174	B00EL3UFFM	28.7	29
BESP1175	B01MT5F1UZ	35.53	30
BESP1176	B01MY4KNG4	28.95	30
BESP1177	B01MY4KPSL	28.99	30
BESP1178	B001681QQW	31.34	30
BESP1179	B00EL3UEEY	28.7	30
BESP1183	B07L9VY3JR	26.93	30
BESP1185	B07BL5F4TQ	28.64	19
BESP1197	B07GZMPPFY	24.52	30
BESP1201	B07NRTLR3K	33.13	18
BESP1202	B07H9NKTXD	35.13	19
BESP1203	B01EG7FSJU	28.89	30
BESP1204	B01EG7FJVC	37.14	11
BESP1248	B06W2MVRMT	29.04	25
BESP1263	B007CRNEZ2	29.74	30
BESP1283	B0787DNPZM	32.75	30
BESP1292	B01KVXZDCU	48.15	30
BESP1293	B01KVZ3F6O	45.33	28
BESP1306	B07FZQTK98	38.6	17
BESP1310	B07FZRJSN6	26.54	22
BESP1311	B07FZTPKDK	30.43	16
BESP1312	B07FZSQT1S	32.33	30
BESP1313	B07FZRG6T5	34.62	15
BESP1314	B07FZTNXYB	23.73	21
BESP1315	B07FZQFG2Q	31.18	16
BESP1347	B01F2O4T28	35.65	13
BESP1350	B01EZ6GHQA	32.43	12
BESP1363	B07NL9RP1C	33.43	30
BESP1369	B07NLB8KKZ	39.21	21
BESP1370	B074MFKKH8	42.72	30
BESP1374	B07JC6Z7R6	45.74	30
BESP1375	B07JCC1PJN	43.97	30
BESP2100	B01N4GHJTQ	33.07	30
BESP2103	B078N724JW	28.94	28
BESP2106	B07GLQV985	42.33	30
BESP2116	B077JCLRRX	28.81	30
BESP2118	B07LCHNGSR	36.27	11
BESP2126	B075KBDWS5	45.1	27
BESP2130	B06XDTNYDL	32.75	24
BESP2140	B07GNH15YW	36.54	30
BESP2142	B01N7KYB3Z	40.45	22
BESP2143	B077GC9HH9	40.91	23
BESP2144	B077GDTS7D	40.98	30
BESP2145	B077GFDCWS	32.73	23
BESP2177	B079SLYLRQ	41.85	11
BESP2178	B079Z4NLJZ	87.43	30
BESP2179	B074TQ7MJ3	42.2	25
BESP2205	B07FXX2J47	47.85	30
BESP2214	B06Y1DF57Z	43.72	16
BESP2220	B003IK7QYW	43.16	11
BESP2221	B07B4C31RS	37.81	30
BESP2222	B07LCGSLST	36.29	30
BESP2223	B07HJYGZ9X	37.37	20
BESP2226	B07LCGS323	36.31	30
BESP2241	B071F91R6J	56.24	27
BESP2244	B07HP93S6X	63.57	25
BESP2248	B07F76MCXS	70.72	23
BESP2251	B071P24WST	51.61	29
BESP2260	B07574MP61	37.39	27
BESP2262	B07574DBCX	51.48	24
BTDBTC1135	B009G082QY	37.84	30
BTDBTC1169	B072272K47	26.57	30
BTDBTC2166	B07BDJZ4XR	61.63	30
BTDC4126	B077N8GCLB	76.3	30
CD13161	B074N658QR	54.8	30
CD13266	B0792RHBG8	34.19	30
CD14107	B01MCWPLQP	30.63	30
CHR51288	B075GXGWDV	38.56	22
CPACE112	B07M65XXFZ	39.81	30
CPACE113	B07MNK6G4R	43.74	30
CSJ1532	B0090JB9E8	32.2	30
CSJ2211	B00T7DYI3G	61.2	30
CSJ2339	B01MYWLI23	44.34	29
CSJ2664	B00CM148LM	39.81	17
CSJ3720	B005CX3LSS	34.68	30
DCG-2408-1101	B077J2GLBP	36.9	30
DCG-2408-1104	B078H5LYBD	40.86	30
DCG-2408-1111	B0799HYW92	49.23	30
DCG-2408-1112	B0799L313Q	60.46	30
DCG-2408-1133	B07DG2YN8V	30.89	30
